query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
25362,7,{322},1.0,1.0,0.9922055542469025
39918,1,{221},0.7,1.0,0.9835180640220642
41774,3,{210},1.0,0.7,0.9940514624118805
21489,1,{521},1.0,1.0,0.9912296056747436
51169,3,{521},1.0,1.0,0.995548665523529
110760,5,{433},1.0,0.7,0.995247733592987
26260,1,{321},1.0,1.0,0.9908736109733581
438,5,{433},1.0,0.2,0.99589301943779
55902,4,{331},0.6,1.0,0.9895320415496827
56991,3,{210},1.0,1.0,0.9890079021453857
11443,1,{522},1.0,1.0,0.974229484796524
120122,0,{421},1.0,1.0,0.9879262745380402
144600,1,{331},1.0,0.8,0.9804236590862274
89780,6,{711},0.5,1.0,0.9918199717998505
130521,1,{310},1.0,0.1,0.9948594987392425
92006,2,{310},1.0,1.0,0.9977587521076202
86931,3,{320},1.0,0.9,0.9905976712703705
42549,3,{310},1.0,1.0,0.9960741758346557
62660,3,{530},0.1,1.0,0.9913010597229004
81413,3,{430},1.0,1.0,0.9893175184726715
75822,2,{410},0.6,0.9,0.9956485509872437
114309,4,{421},1.0,1.0,0.9919559895992279
47182,0,{431},1.0,1.0,0.9972522616386413
13428,1,{411},1.0,0.7,0.9760843634605407
63387,4,{321},1.0,0.6,0.9929542958736419
126785,7,{322},1.0,1.0,0.9985365569591522
70641,3,{531},0.8,1.0,0.9962801575660706
34897,3,{321},1.0,0.5,0.9960507452487946
68549,3,{310},1.0,1.0,0.9979632437229157
30654,3,{421},1.0,1.0,0.9968190550804138
149390,7,{110},1.0,1.0,0.9911494195461273
45511,3,{210},0.7,1.0,0.9879892408847809
137915,3,{210},1.0,1.0,0.9914349496364594
143623,1,{331},0.8,0.6,0.9868116796016693
106030,4,{431},1.0,1.0,0.9955116271972656
138888,4,{432},1.0,1.0,0.9778996407985687
706,4,{221},1.0,1.0,0.9913293480873108
130676,7,{322},1.0,0.8,0.9938074111938476
6275,4,{221},1.0,1.0,0.9886845052242279
89647,0,{211},1.0,1.0,0.9774106621742249
105887,6,{100},1.0,0.8,0.9952712833881379
10584,4,{221},1.0,1.0,0.986879849433899
5744,1,{331},1.0,1.0,0.992045396566391
100894,6,{100},1.0,1.0,0.9986175835132599
43480,3,{530},1.0,0.8,0.9807160317897796
88159,1,{431},1.0,1.0,0.9944592595100403
44716,0,{531},1.0,1.0,0.9959675967693329
31202,3,{321},1.0,1.0,0.9959284126758575
88746,1,{431},1.0,0.8,0.9933625519275665
85291,1,{321},1.0,1.0,0.9940576255321503
102944,0,{531},1.0,1.0,0.9905582427978515
23978,1,{521},0.7,1.0,0.9898101985454559
141305,3,{210},0.8,0.7,0.9889398992061615
28213,3,{521},1.0,1.0,0.9954498291015625
147954,1,{441},1.0,1.0,0.9853383600711823
39990,3,{210},1.0,1.0,0.9921535372734069
29044,3,{410},1.0,0.8,0.99596688747406
12104,1,{311},1.0,1.0,0.9845328390598297
111094,4,{432},1.0,1.0,0.9757984817028046
103408,6,{100},1.0,1.0,0.9990683257579803
129096,1,{521},0.8,0.7,0.9879403829574585
71934,3,{421},1.0,1.0,0.9953696548938751
13604,2,{711},0.8,0.6,0.9880132257938385
100552,0,{210},1.0,1.0,0.9917698681354523
29709,2,{510},1.0,1.0,0.9961448669433594
44983,0,{432},1.0,1.0,0.9706808567047119
102315,1,{331},0.7,0.9,0.9881474316120148
102427,4,{221},1.0,1.0,0.9891265094280243
49287,0,{432},1.0,1.0,0.991692191362381
130407,1,{521},1.0,1.0,0.9904134452342988
27347,4,{321},1.0,1.0,0.9852904319763184
2984,7,{111},1.0,1.0,0.9958275496959687
61094,7,{311},1.0,0.6,0.9919058442115783
71002,3,{310},1.0,1.0,0.9962587475776672
94269,1,{331},1.0,0.9,0.9953244507312775
148715,3,{430},1.0,1.0,0.9938843607902527
125085,1,{411},1.0,1.0,0.9913869082927704
22644,3,{521},1.0,1.0,0.9931052267551422
31443,3,{310},1.0,1.0,0.9948481321334839
103080,2,{210},1.0,0.9,0.9914443254470825
80866,0,{431},1.0,1.0,0.9951591312885284
14399,1,{441},1.0,1.0,0.9915670275688171
5296,5,{322},1.0,1.0,0.9888728559017181
6523,0,{211},0.6,0.7,0.9810685634613037
126358,1,{411},1.0,0.6,0.9873813450336456
76290,1,{411},1.0,0.6,0.9829047083854675
122492,1,{511},1.0,1.0,0.9912846684455872
85908,1,{321},1.0,0.7,0.9954381942749023
109716,6,{100},1.0,1.0,0.9970771372318268
64889,3,{310},0.2,1.0,0.9965225577354431
89051,2,{511},1.0,0.9,0.9950385868549347
134730,0,{421},1.0,1.0,0.9777090549468994
91452,2,{310},1.0,1.0,0.9966907322406768
86978,1,{431},1.0,1.0,0.9963257253170014
126412,7,{111},1.0,1.0,0.9857507884502411
121281,2,{711},1.0,1.0,0.9966746032238006
105194,3,{510},1.0,0.8,0.9936338365077972
11774,5,{332},1.0,1.0,0.9959049880504608
73822,1,{521},1.0,1.0,0.98884037733078
4334,5,{332},1.0,1.0,0.9878129959106445
146475,0,{320},1.0,0.8,0.9913602888584137
102415,0,{210},1.0,1.0,0.9842311620712281
18404,5,{332},1.0,0.7,0.9931888520717621
4384,6,{100},1.0,1.0,0.9951203286647796
81726,2,{521},0.7,1.0,0.9937105298042297
64524,0,{531},0.8,1.0,0.9948034167289734
13492,1,{511},1.0,1.0,0.9923203766345978
