query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
25362,21,{322},1.0,1.0,0.9922055542469025
39918,22,{221},1.0,1.0,0.9835180640220642
41774,33,{210},0.9,0.7,0.9940514624118805
21489,12,{521},0.9,1.0,0.9912296056747436
51169,33,{521},1.0,1.0,0.995548665523529
110760,13,{433},1.0,0.7,0.995247733592987
26260,1,{321},1.0,1.0,0.9908736109733581
438,13,{433},1.0,0.2,0.99589301943779
55902,22,{331},1.0,1.0,0.9895320415496827
56991,11,{210},0.4,1.0,0.9890079021453857
11443,2,{522},0.9,1.0,0.974229484796524
120122,17,{421},1.0,1.0,0.9879262745380402
144600,22,{331},1.0,0.8,0.9804236590862274
89780,5,{711},1.0,1.0,0.9918199717998505
130521,33,{310},0.6,0.1,0.9948594987392425
92006,10,{310},1.0,1.0,0.9977587521076202
86931,24,{320},1.0,0.9,0.9905976712703705
42549,10,{310},1.0,1.0,0.9960741758346557
62660,25,{530},1.0,1.0,0.9913010597229004
81413,23,{430},1.0,1.0,0.9893175184726715
75822,10,{410},1.0,0.9,0.9956485509872437
114309,34,{421},1.0,1.0,0.9919559895992279
47182,27,{431},1.0,1.0,0.9972522616386413
13428,22,{411},0.9,0.7,0.9760843634605407
63387,34,{321},1.0,0.6,0.9929542958736419
126785,31,{322},1.0,1.0,0.9985365569591522
70641,27,{531},1.0,1.0,0.9962801575660706
34897,1,{321},1.0,0.5,0.9960507452487946
68549,10,{310},1.0,1.0,0.9979632437229157
30654,1,{421},1.0,1.0,0.9968190550804138
149390,32,{110},1.0,1.0,0.9911494195461273
45511,11,{210},0.7,1.0,0.9879892408847809
137915,33,{210},1.0,1.0,0.9914349496364594
143623,22,{331},1.0,0.6,0.9868116796016693
106030,12,{431},1.0,1.0,0.9955116271972656
138888,7,{432},1.0,1.0,0.9778996407985687
706,14,{221},1.0,1.0,0.9913293480873108
130676,21,{322},1.0,0.8,0.9938074111938476
6275,14,{221},1.0,1.0,0.9886845052242279
89647,20,{211},0.8,1.0,0.9774106621742249
105887,8,{100},1.0,0.8,0.9952712833881379
10584,7,{221},0.5,1.0,0.986879849433899
5744,3,{331},1.0,1.0,0.992045396566391
100894,8,{100},1.0,1.0,0.9986175835132599
43480,24,{530},1.0,0.8,0.9807160317897796
88159,3,{431},1.0,1.0,0.9944592595100403
44716,27,{531},1.0,1.0,0.9959675967693329
31202,1,{321},1.0,1.0,0.9959284126758575
88746,22,{431},0.9,0.8,0.9933625519275665
85291,1,{321},1.0,1.0,0.9940576255321503
102944,15,{531},1.0,1.0,0.9905582427978515
23978,33,{521},1.0,1.0,0.9898101985454559
141305,11,{210},1.0,0.7,0.9889398992061615
28213,33,{521},1.0,1.0,0.9954498291015625
147954,30,{441},0.4,1.0,0.9853383600711823
39990,33,{210},1.0,1.0,0.9921535372734069
29044,10,{410},1.0,0.8,0.99596688747406
12104,2,{311},1.0,1.0,0.9845328390598297
111094,7,{432},0.9,1.0,0.9757984817028046
103408,8,{100},1.0,1.0,0.9990683257579803
129096,12,{521},1.0,0.7,0.9879403829574585
71934,1,{421},1.0,1.0,0.9953696548938751
13604,5,{711},1.0,0.6,0.9880132257938385
100552,17,{210},0.5,1.0,0.9917698681354523
29709,10,{510},1.0,1.0,0.9961448669433594
44983,17,{432},0.1,1.0,0.9706808567047119
102315,22,{331},1.0,0.9,0.9881474316120148
102427,14,{221},1.0,1.0,0.9891265094280243
49287,17,{432},1.0,1.0,0.991692191362381
130407,12,{521},1.0,1.0,0.9904134452342988
27347,34,{321},1.0,1.0,0.9852904319763184
2984,4,{111},1.0,1.0,0.9958275496959687
61094,16,{311},1.0,0.6,0.9919058442115783
71002,10,{310},1.0,1.0,0.9962587475776672
94269,1,{331},0.7,0.9,0.9953244507312775
148715,23,{430},1.0,1.0,0.9938843607902527
125085,12,{411},1.0,1.0,0.9913869082927704
22644,33,{521},1.0,1.0,0.9931052267551422
31443,10,{310},1.0,1.0,0.9948481321334839
103080,10,{210},0.7,0.9,0.9914443254470825
80866,27,{431},1.0,1.0,0.9951591312885284
14399,3,{441},0.8,1.0,0.9915670275688171
5296,6,{322},1.0,1.0,0.9888728559017181
6523,20,{211},1.0,0.7,0.9810685634613037
126358,2,{411},1.0,0.6,0.9873813450336456
76290,3,{411},1.0,0.6,0.9829047083854675
122492,12,{511},1.0,1.0,0.9912846684455872
85908,1,{321},1.0,0.7,0.9954381942749023
109716,8,{100},1.0,1.0,0.9970771372318268
64889,10,{310},1.0,1.0,0.9965225577354431
89051,18,{511},1.0,0.9,0.9950385868549347
134730,17,{421},1.0,1.0,0.9777090549468994
91452,18,{310},0.4,1.0,0.9966907322406768
